"order_date";"market";"target_profit"
"2011-1-1";"Africa";159
"2011-1-2";"Africa";9
"2011-1-3";"Africa";16
"2011-1-4";"Africa";4
"2011-1-5";"Africa";15
"2011-1-6";"Africa";11
"2011-1-7";"Africa";62
"2011-1-8";"Africa";63
"2011-1-9";"Africa";29
"2011-1-10";"Africa";665
"2011-1-11";"Africa";93
"2011-1-12";"Africa";139
"2011-1-13";"Africa";253
"2011-1-14";"Africa";44
"2011-1-15";"Africa";265
"2011-1-16";"Africa";34
"2011-1-17";"Africa";6
"2011-1-18";"Africa";331
"2011-1-19";"Africa";163
"2011-1-20";"Africa";329
"2011-1-21";"Africa";15
"2011-1-22";"Africa";20
"2011-1-23";"Africa";61
"2011-1-24";"Africa";13
"2011-1-25";"Africa";416
"2011-1-26";"Africa";526
"2011-1-27";"Africa";96
"2011-1-28";"Africa";18
"2011-1-29";"Africa";41
"2011-1-30";"Africa";638
"2011-1-31";"Africa";487
"2011-2-1";"Africa";232
"2011-2-2";"Africa";48
"2011-2-3";"Africa";46
"2011-2-4";"Africa";152
"2011-2-5";"Africa";62
"2011-2-6";"Africa";76
"2011-2-7";"Africa";62
"2011-2-8";"Africa";257
"2011-2-9";"Africa";7
"2011-2-10";"Africa";655
"2011-2-11";"Africa";743
"2011-2-12";"Africa";729
"2011-2-13";"Africa";27
"2011-2-14";"Africa";239
"2011-2-15";"Africa";2255
"2011-2-16";"Africa";25
"2011-2-17";"Africa";31
"2011-2-18";"Africa";57
"2011-2-19";"Africa";35
"2011-2-20";"Africa";79
"2011-2-21";"Africa";12
"2011-2-22";"Africa";9
"2011-2-23";"Africa";5
"2011-2-24";"Africa";129
"2011-2-25";"Africa";883
"2011-2-26";"Africa";55
"2011-2-27";"Africa";59
"2011-2-28";"Africa";12
"2011-3-1";"Africa";57
"2011-3-2";"Africa";19
"2011-3-3";"Africa";233
"2011-3-4";"Africa";222
"2011-3-5";"Africa";8
"2011-3-6";"Africa";57
"2011-3-7";"Africa";0
"2011-3-8";"Africa";941
"2011-3-9";"Africa";64
"2011-3-10";"Africa";22
"2011-3-11";"Africa";14
"2011-3-12";"Africa";12
"2011-3-13";"Africa";6
"2011-3-14";"Africa";33
"2011-3-15";"Africa";9
"2011-3-16";"Africa";174
"2011-3-17";"Africa";23
"2011-3-18";"Africa";58
"2011-3-19";"Africa";16
"2011-3-20";"Africa";15
"2011-3-21";"Africa";32
"2011-3-22";"Africa";22
"2011-3-23";"Africa";656
"2011-3-24";"Africa";18
"2011-3-25";"Africa";20
"2011-3-26";"Africa";23
"2011-3-27";"Africa";38
"2011-3-28";"Africa";54
"2011-3-29";"Africa";1
"2011-3-30";"Africa";9
"2011-3-31";"Africa";50
"2011-4-1";"Africa";29
"2011-4-2";"Africa";56
"2011-4-3";"Africa";22
"2011-4-4";"Africa";527
"2011-4-5";"Africa";429
"2011-4-6";"Africa";113
"2011-4-7";"Africa";41
"2011-4-8";"Africa";232
"2011-4-9";"Africa";4
"2011-4-10";"Africa";21
"2011-4-11";"Africa";5
"2011-4-12";"Africa";27
"2011-4-13";"Africa";114
"2011-4-14";"Africa";194
"2011-4-15";"Africa";47
"2011-4-16";"Africa";162
"2011-4-17";"Africa";9
"2011-4-18";"Africa";16
"2011-4-19";"Africa";14
"2011-4-20";"Africa";103
"2011-4-21";"Africa";13
"2011-4-22";"Africa";639
"2011-4-23";"Africa";63
"2011-4-24";"Africa";19
"2011-4-25";"Africa";758
"2011-4-26";"Africa";20
"2011-4-27";"Africa";1341
"2011-4-28";"Africa";496
"2011-4-29";"Africa";7
"2011-4-30";"Africa";175
"2011-5-1";"Africa";26
"2011-5-2";"Africa";60
"2011-5-3";"Africa";713
"2011-5-4";"Africa";27
"2011-5-5";"Africa";14
"2011-5-6";"Africa";50
"2011-5-7";"Africa";133
"2011-5-8";"Africa";48
"2011-5-9";"Africa";30
"2011-5-10";"Africa";267
"2011-5-11";"Africa";88
"2011-5-12";"Africa";104
"2011-5-13";"Africa";63
"2011-5-14";"Africa";9
"2011-5-15";"Africa";20
"2011-5-16";"Africa";40
"2011-5-17";"Africa";766
"2011-5-18";"Africa";76
"2011-5-19";"Africa";29
"2011-5-20";"Africa";46
"2011-5-21";"Africa";33
"2011-5-22";"Africa";81
"2011-5-23";"Africa";2
"2011-5-24";"Africa";268
"2011-5-25";"Africa";65
"2011-5-26";"Africa";53
"2011-5-27";"Africa";4
"2011-5-28";"Africa";11
"2011-5-29";"Africa";12
"2011-5-30";"Africa";27
"2011-5-31";"Africa";45
"2011-6-1";"Africa";8
"2011-6-2";"Africa";129
"2011-6-3";"Africa";292
"2011-6-4";"Africa";114
"2011-6-5";"Africa";13
"2011-6-6";"Africa";394
"2011-6-7";"Africa";14
"2011-6-8";"Africa";1
"2011-6-9";"Africa";71
"2011-6-10";"Africa";204
"2011-6-11";"Africa";188
"2011-6-12";"Africa";24
"2011-6-13";"Africa";25
"2011-6-14";"Africa";113
"2011-6-15";"Africa";1297
"2011-6-16";"Africa";3
"2011-6-17";"Africa";10
"2011-6-18";"Africa";12
"2011-6-19";"Africa";41
"2011-6-20";"Africa";450
"2011-6-21";"Africa";27
"2011-6-22";"Africa";208
"2011-6-23";"Africa";969
"2011-6-24";"Africa";20
"2011-6-25";"Africa";8
"2011-6-26";"Africa";301
"2011-6-27";"Africa";190
"2011-6-28";"Africa";8
"2011-6-29";"Africa";15
"2011-6-30";"Africa";105
"2011-7-1";"Africa";162
"2011-7-2";"Africa";13
"2011-7-3";"Africa";32
"2011-7-4";"Africa";51
"2011-7-5";"Africa";32
"2011-7-6";"Africa";4
"2011-7-7";"Africa";1313
"2011-7-8";"Africa";16
"2011-7-9";"Africa";219
"2011-7-10";"Africa";10
"2011-7-11";"Africa";158
"2011-7-12";"Africa";48
"2011-7-13";"Africa";27
"2011-7-14";"Africa";56
"2011-7-15";"Africa";22
"2011-7-16";"Africa";310
"2011-7-17";"Africa";3
"2011-7-18";"Africa";1132
"2011-7-19";"Africa";132
"2011-7-20";"Africa";69
"2011-7-21";"Africa";51
"2011-7-22";"Africa";49
"2011-7-23";"Africa";99
"2011-7-24";"Africa";84
"2011-7-25";"Africa";29
"2011-7-26";"Africa";147
"2011-7-27";"Africa";34
"2011-7-28";"Africa";45
"2011-7-29";"Africa";27
"2011-7-30";"Africa";31
"2011-7-31";"Africa";12
"2011-8-1";"Africa";283
"2011-8-2";"Africa";1040
"2011-8-3";"Africa";152
"2011-8-4";"Africa";30
"2011-8-5";"Africa";187
"2011-8-6";"Africa";30
"2011-8-7";"Africa";34
"2011-8-8";"Africa";2
"2011-8-9";"Africa";115
"2011-8-10";"Africa";1302
